Gender,Marital_Status,Employment_Type,Education_Level,Loan_Purpose,Age,Loan_Amount,Tenure_Months,Income
Female,Widowed,Unemployed,Diploma,Medical,56,368918,31,892672
Female,Married,Self-employed,Master,Medical,46,499626,30,55586
Male,Divorced,Unemployed,High School,Housing,32,298859,15,1068725
Male,Widowed,Self-employed,Master,Personal,60,824037,58,958806
Female,Single,Self-employed,Master,Medical,25,634141,20,819565
Male,Widowed,Salaried,Master,Housing,38,565462,27,1654050
Female,Married,Salaried,Bachelor,Housing,56,937460,56,1649792
Female,Divorced,Unemployed,Diploma,Medical,36,507660,53,1852200
Female,Divorced,Salaried,High School,Education,40,86373,26,1837023
Male,Single,Salaried,Master,Medical,28,865684,27,1483710
Female,Single,Unemployed,PhD,Medical,28,203021,41,1447749
Female,Divorced,Unemployed,Master,Education,41,203718,39,594999
Male,Single,Unemployed,PhD,Education,53,604305,35,1677826
Male,Divorced,Self-employed,Master,Medical,57,73037,30,70039
Male,Widowed,Self-employed,PhD,Education,41,624106,50,1659425
Male,Married,Salaried,High School,Medical,20,540836,33,256555
Male,Single,Unemployed,Diploma,Business,39,651269,6,1589663
Male,Single,Unemployed,Master,Education,19,244213,54,1048899
Male,Single,Unemployed,Master,Housing,41,214366,50,1318306
Male,Single,Unemployed,Diploma,Personal,61,512420,9,51577
Female,Divorced,Self-employed,Master,Business,47,164249,12,157792
Female,Single,Salaried,PhD,Housing,55,296166,54,995854
Female,Married,Unemployed,Diploma,Personal,19,640585,14,1870844
Female,Single,Self-employed,Master,Housing,38,670902,41,1337116
Female,Divorced,Unemployed,High School,Medical,50,232084,24,1001302
Female,Widowed,Salaried,High School,Housing,29,499536,6,1327082
Female,Single,Unemployed,Master,Personal,39,70428,15,1835353
Male,Widowed,Self-employed,Diploma,Housing,61,688100,41,60785
Male,Divorced,Self-employed,Bachelor,Education,42,331497,14,1170803
Female,Widowed,Self-employed,High School,Personal,44,647420,50,955112
Male,Widowed,Unemployed,High School,Business,59,197604,51,898389
Female,Widowed,Salaried,PhD,Personal,45,550340,47,1688295
Female,Single,Self-employed,Bachelor,Education,33,110689,37,1509089
Female,Widowed,Salaried,High School,Personal,32,712436,37,908326
Female,Widowed,Salaried,High School,Housing,64,456636,11,1346517
Male,Divorced,Salaried,Master,Personal,61,666031,53,1817708
Male,Widowed,Salaried,PhD,Education,20,272307,43,200653
Female,Widowed,Unemployed,Bachelor,Medical,54,313568,22,367336
Female,Divorced,Self-employed,PhD,Housing,24,512754,15,313606
Male,Married,Salaried,High School,Personal,38,981248,55,440992
Male,Single,Self-employed,PhD,Education,26,473547,32,1818109
Female,Single,Self-employed,High School,Housing,56,413850,59,983015
Male,Divorced,Unemployed,Bachelor,Medical,35,145870,55,1436826
Female,Married,Salaried,Bachelor,Medical,21,294564,40,1409385
Male,Widowed,Salaried,High School,Business,42,520259,57,1798350
Female,Married,Salaried,Diploma,Personal,31,654863,26,1441730
Female,Divorced,Unemployed,High School,Housing,26,792518,30,1695437
Male,Married,Salaried,High School,Medical,43,301444,33,274737
Male,Married,Salaried,Master,Business,19,886313,52,944235
Male,Single,Self-employed,Bachelor,Housing,37,20749,20,693970
Female,Widowed,Salaried,Diploma,Personal,45,638419,9,1636250
Female,Widowed,Unemployed,Diploma,Housing,64,690481,34,436213
Female,Married,Self-employed,Bachelor,Housing,24,924995,14,1153036
Female,Single,Salaried,Master,Education,61,309631,32,449437
Male,Single,Salaried,Master,Housing,25,235019,31,466690
Male,Married,Self-employed,Diploma,Personal,64,436577,24,1073577
Male,Widowed,Self-employed,PhD,Medical,52,817655,33,1213951
Male,Divorced,Self-employed,High School,Personal,31,607218,22,949092
Male,Married,Unemployed,Master,Personal,34,679416,48,202117
Male,Widowed,Salaried,Diploma,Personal,53,300524,46,927751
Female,Widowed,Salaried,PhD,Business,57,822467,47,1215158
Female,Married,Self-employed,High School,Medical,21,827052,55,1597485
Male,Divorced,Unemployed,Diploma,Business,19,947381,25,972426
Female,Divorced,Self-employed,Master,Housing,23,266553,50,1865879
Female,Married,Salaried,Master,Personal,59,458532,45,728066
Male,Married,Unemployed,Diploma,Medical,21,729401,44,1927779
Male,Divorced,Self-employed,Bachelor,Personal,46,389504,54,1675199
Male,Single,Self-employed,Bachelor,Housing,35,63352,58,1851951
Male,Single,Self-employed,PhD,Medical,43,434127,28,102949
Male,Divorced,Self-employed,High School,Housing,61,173856,52,513930
Male,Widowed,Self-employed,High School,Education,51,13191,37,145558
Male,Married,Self-employed,Diploma,Housing,27,960664,57,1507032
Female,Single,Unemployed,Diploma,Housing,53,886968,52,1059260
Male,Single,Unemployed,Bachelor,Housing,31,638864,38,1987280
Male,Married,Unemployed,High School,Education,48,205713,51,839148
Male,Single,Self-employed,High School,Personal,32,452939,10,1246222
Female,Divorced,Self-employed,Bachelor,Personal,25,13631,48,1865751
Female,Married,Salaried,Diploma,Business,31,147244,53,1565509
Male,Widowed,Unemployed,PhD,Education,40,314224,39,1603091
Male,Widowed,Salaried,Diploma,Business,57,230169,45,767186
Male,Divorced,Unemployed,Master,Medical,38,624641,16,1774149
Male,Single,Salaried,Master,Personal,33,423497,55,121916
Male,Widowed,Self-employed,Diploma,Education,62,562959,8,1820087
Male,Divorced,Unemployed,Diploma,Medical,35,657099,38,1358166
Female,Divorced,Salaried,Master,Business,64,716791,16,822378
